year,age,gender,lr_avg,rp_avg,ao_avg,t_pf_avg,count_obs
2018,39,m,238218.11752,238642.63407,9277.0600247,486137.81162,17826
2018,40,m,265885.14302,259947.51218,10311.272965,536143.92817,18724
2018,41,m,286572.07495,275889.26191,11216.59115,573677.92801,18892
2018,42,m,308023.09733,289315.33635,11983.50072,609321.9344,19450
2018,43,m,342374.79108,315496.63055,13221.418456,671092.84009,21424
2018,44,m,363721.52818,338761.95262,13345.282063,715828.76286,21169
2018,45,m,383201.6993,355629.68309,14698.717207,753530.0996,21224
2018,46,m,414321.11175,373164.14112,15279.011813,802764.26469,22264
2018,47,m,424259.46041,401857.18982,16685.146667,842801.79689,23175
2018,48,m,445484.01866,411365.01218,18499.274543,875348.30538,22084
2018,49,m,460269.09435,427774.53598,19300.925386,907344.55572,21484
2018,50,m,487195.81039,445754.43162,21123.971686,954074.2137,22003
2018,51,m,504369.1615,450016.07582,23552.808124,977938.04544,23437
2018,52,m,531876.49443,466782.48288,25205.642913,1023864.6202,26663
2018,53,m,581526.23042,473684.08602,27850.5357,1083060.8521,25714
2018,54,m,611882.67445,477546.77443,30251.981276,1119681.4302,24835
2018,55,m,626317.01999,493725.3414,34338.985538,1154381.3469,24408
2018,56,m,640681.46689,482790.01007,36591.447811,1160062.9248,22639
2018,57,m,692082.74936,494912.61396,40065.103863,1227060.4672,22135
2018,58,m,720130.30376,491978.18153,41720.564384,1253829.0497,22024
2018,59,m,730317.87549,495392.76481,47318.409377,1273029.0497,20817
2018,60,m,776727.4718,517149.67961,51190.576654,1345067.7281,20038
2018,61,m,837441.4348,508096.43022,51567.666885,1397105.5319,19876
2018,62,m,876238.50951,522628.36607,57780.969519,1456647.8451,19619
2018,63,m,913539.88391,522767.99323,57754.754169,1494062.6313,18468
2018,64,m,936628.37133,498465.31121,64130.596298,1499224.2788,17451
2018,65,m,952371.49499,482245.83879,59385.097781,1494002.4316,15954
2018,66,m,1005216.3214,456348.33073,59819.842283,1521384.4944,15363
2018,67,m,997227.71504,457192.02038,53442.537526,1507862.2729,13644
2018,68,m,988311.07746,474307.28381,59937.473241,1522555.8345,12949
2018,69,m,991296.89847,396133.57696,51783.794834,1439214.2703,12351
2018,70,m,1020823.7411,413651.17657,50334.781115,1484809.6988,12454
2018,71,m,1011601.191,408790.34739,50469.002101,1470860.5405,11900
2018,72,m,1019287.0392,347504.639,42896.633729,1409688.3119,11385
2018,73,m,975943.58086,309108.2078,38579.825559,1323631.6142,10462
2018,74,m,990378.48337,291998.50762,41097.265043,1323474.256,8991
