year,KOEN,ALDER,FGNF,FGAKTIV,FGA,FGB,FGCX,nettoform_u_pf,FGPASSIV
2018,1,71,2656283.5116,3157225.6216,1454150.5942,451864.897,1251210.1305,1405073.3811,500942.11003
2018,1,72,2627852.0043,3121154.9852,1461145.767,456717.23576,1203291.9824,1424560.022,493302.98082
2018,1,73,2537749.4824,3014951.5766,1436265.0153,453348.70589,1125337.8554,1412411.627,477202.09422
2018,1,74,2459301.1966,2906471.3205,1412731.2239,452185.02637,1041555.0702,1417746.1264,447170.12387
2018,1,75,2438886.2555,2863156.6997,1410143.4311,478433.48255,974579.78603,1464306.4695,424270.44417
2018,1,76,2353106.9386,2770606.1738,1420341.2073,564936.46378,785328.50273,1567778.4358,417499.23526
2018,1,77,2200568.3784,2591718.361,1370030.3978,536979.79716,684708.16602,1515860.2124,391149.98252
2018,1,78,2082927.529,2456976.6177,1328328.9656,522372.77072,606274.88131,1476652.6477,374049.08869
2018,1,79,2078000.549,2419173.8903,1310519.5219,533261.12954,575393.2388,1502607.3102,341173.34123
2018,1,80,2000899.9132,2314382.6484,1269374.6679,519126.13841,525881.84213,1475018.071,313482.73523
2018,1,81,1923100.7431,2215020.1836,1225445.3402,513241.83808,476333.00534,1446767.7378,291919.44047
2018,1,82,1865452.0934,2141093.3691,1188581.0096,521261.71612,431250.64342,1434201.45,275641.27569
2018,1,83,1782140.6897,2047468.7318,1156449.0542,502132.97548,388886.70219,1393253.9875,265328.04213
2018,1,84,1791916.2523,2038837.7687,1145382.7095,533292.95256,360162.10668,1431754.1456,246921.51642
2018,1,85,1730855.8054,1955534.5149,1093478.6336,544953.59674,317102.28458,1413753.5208,224678.70948
2018,1,86,1682376.853,1896539.722,1088918.7978,534255.96995,273364.95418,1409011.8988,214162.86895
2018,1,87,1639683.2202,1844285.5469,1044448.4778,549602.35367,250234.71541,1389448.5048,204602.32667
2018,1,88,1658339.7118,1854841.1544,1052040.7405,574539.69606,228260.71785,1430078.9939,196501.44261
2018,1,89,1591863.2062,1769837.619,1006598.4519,562310.40599,200928.76105,1390934.4452,177974.41273
2018,1,90,1569241.2203,1734246.159,991898.81684,568783.01448,173564.3277,1395676.8926,165004.93874
2018,1,91,1528807.0215,1677088.6374,914467.15586,607961.36262,154660.11889,1374146.9026,148281.6159
2018,1,92,1439969.3236,1619154.2763,876915.34534,604034.741,138204.18994,1301765.1337,179184.95264
2018,1,93,1482056.6401,1624930.0041,850400.88251,636468.60972,138060.51182,1343996.1283,142873.36394
2018,1,94,1625261.3864,1759905.932,968228.27654,673272.88641,118404.76909,1506856.6173,134644.54562
2018,1,95,1379120.2283,1485090.0252,760017.43557,634608.97619,90463.613445,1288656.6148,105969.79692
2018,1,96,1404781.4979,1501026.2521,732598.57708,685983.87917,82443.795833,1322337.7021,96244.754167
2018,1,97,1305231.0778,1428603.2334,742465.26801,613418.32565,72719.639769,1232511.438,123372.15562
2018,1,98,1280818.7729,1362632.1111,684278.53623,612741.42512,65612.149758,1215206.6232,81813.338164
2018,1,99,1568363.9412,1692709,856504.83088,758530.61765,77673.551471,1490690.3897,124345.05882
2018,1,100,1607329.9067,1674086.5067,841011.10667,790580.94667,42494.453333,1564835.4533,66756.6
2018,2,30,204088.75093,636237.99115,472206.25555,75104.480909,88927.254689,115161.49625,432149.24022
2018,2,31,237536.00555,714233.07725,526850.50003,78859.517091,108523.06013,129012.94542,476697.0717
2018,2,32,275683.44095,793662.32886,577963.41276,84302.820928,131396.09517,144287.34578,517978.88791
